geneSym,FC_ADvsNCI,LOG10 FC,t_ADvsNCI,p_ADvsNCI,,,,,,,
YPEL5,0.890524133,-0.050354307,-1.708020672,0.131387535,,,,,,,
GPATCH8,1.233179724,0.091026375,1.706998173,0.131583087,,,,,,,
MYL9,0.805139702,-0.094128757,-1.703101931,0.132330769,,,,,,,
KBTBD3,1.76963777,0.247884379,1.702584936,0.132430281,,,,,,,
AKAP12,1.194497857,0.077185375,1.702378859,0.132469967,,,,,,,
CRISP3,0.696170794,-0.157284201,-1.700977183,0.132740197,,,,,,,
STX4,1.088422475,0.036797501,1.698425993,0.133233381,,,,,,,
DNMT1,0.905884927,-0.042926967,-1.693359204,0.134218012,,,,,,,
UTP6,0.758078231,-0.120285974,-1.692604015,0.134365355,,,,,,,
NRDE2,0.91034907,-0.040792047,-1.691765158,0.134529203,,,,,,,
OSBPL2,0.942727469,-0.025613838,-1.691200908,0.134639519,,,,,,,
DCDC2,0.700025927,-0.154885875,-1.690037123,0.134867321,,,,,,,
RBM45,0.838133069,-0.076687024,-1.689832638,0.134907385,,,,,,,
MAFF,1.134329712,0.054739308,1.688934351,0.135083515,,,,,,,
FBLL1,0.620322737,-0.2073823,-1.682218778,0.136407159,,,,,,,
CLDN5,0.599183368,-0.22244025,-1.679238672,0.13699845,,,,,,,
TSTD1,0.712319725,-0.14732503,-1.676703952,0.137503272,,,,,,,
SMN1,1.124897719,0.051113036,1.673170234,0.138209983,,,,,,,
AEBP1,0.743146526,-0.128925548,-1.669605281,0.138926405,,,,,,,
TMEM68,0.842885068,-0.07423164,-1.668690664,0.139110771,,,,,,,
SYTL4,1.230182815,0.089969656,1.664037384,0.140052339,,,,,,,
NAT1,1.174757282,0.069948146,1.663078867,0.140247033,,,,,,,
EIF2B1,0.885680801,-0.05272277,-1.662743651,0.140315182,,,,,,,
DPP8,0.789850273,-0.102455227,-1.662351858,0.140394873,,,,,,,
CDC16,0.917507406,-0.037390422,-1.660599358,0.140751852,,,,,,,
DDX55,0.310882792,-0.507403316,-1.660058254,0.140862246,,,,,,,
INTS1,0.833034696,-0.07933691,-1.659144269,0.141048898,,,,,,,
SERPINA2,0.386645467,-0.412687077,-1.657334276,0.141419216,,,,,,,
GNPNAT1,0.899263497,-0.046113035,-1.656567682,0.141576333,,,,,,,
DAGLB,1.19174851,0.076184617,1.655397449,0.141816495,,,,,,,
TSR1,0.826139818,-0.082946446,-1.653374959,0.142232463,,,,,,,
NME5,0.64552352,-0.190087929,-1.65124133,0.14267253,,,,,,,
RSPH9,0.813439153,-0.089674927,-1.649236209,0.143087256,,,,,,,
ANKIB1,0.902460211,-0.044571937,-1.647557211,0.143435399,,,,,,,
CALCOCO1,1.036112708,0.015407,1.646286387,0.143699434,,,,,,,
CARMIL1,0.911327263,-0.040325637,-1.645060188,0.143954628,,,,,,,
SMTN,0.875092456,-0.05794606,-1.64394739,0.14418659,,,,,,,
MYH11,0.799598626,-0.097127961,-1.643582356,0.144262757,,,,,,,
FAM118A,0.72238288,-0.141232555,-1.641791616,0.144636956,,,,,,,
ABCB9,0.612464897,-0.212918797,-1.640313582,0.144946495,,,,,,,
FAM98C,0.874692254,-0.058144719,-1.639743158,0.145066122,,,,,,,
LRP2,1.227938164,0.089176497,1.637133943,0.145614497,,,,,,,
KIF16B,0.595815179,-0.224888437,-1.634825506,0.146101275,,,,,,,
TTC27,0.869291047,-0.060834793,-1.634109496,0.146252569,,,,,,,
CHP1,0.904860517,-0.043418362,-1.633451305,0.146391774,,,,,,,
CCDC8,0.859247825,-0.065881559,-1.632235743,0.146649187,,,,,,,
DVL1,1.000405112,0.000175902,-1.632069442,0.146684437,,,,,,,
HLA-C,2.270509978,0.356123415,1.630617358,0.146992561,,,,,,,
SLC2A8,0.873533665,-0.058720353,-1.630383598,0.147042221,,,,,,,
