gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
CORO1A,-4.936546882,2.368756522,-2.941528973,0.008145938,0.096125412,-2.424414597,,,,,,,,,,,,,,,,,,,
CPB2,-2.842482829,2.011647826,-2.95801993,0.007851468,0.096125412,-2.393682895,,,,,,,,,,,,,,,,,,,
CR1,-2.848966928,-0.098243478,-2.762157845,0.012116381,0.096125412,-2.754989737,,,,,,,,,,,,,,,,,,,
CRHBP,-1.992043206,-3.118436957,-2.72705665,0.013084853,0.096125412,-2.818810179,,,,,,,,,,,,,,,,,,,
CRISP3,-2.347162052,-0.979784783,-3.487819568,0.00235516,0.096125412,-1.384757514,,,,,,,,,,,,,,,,,,,
CRYM,-3.808516654,5.88718913,-3.095074681,0.005771254,0.096125412,-2.136369427,,,,,,,,,,,,,,,,,,,
CTF1,-3.765149236,4.890084783,-3.326187408,0.003412992,0.096125412,-1.696108248,,,,,,,,,,,,,,,,,,,
CTSE,-3.986793385,-2.309215217,-2.806326722,0.010994633,0.096125412,-2.67425621,,,,,,,,,,,,,,,,,,,
CUZD1,-2.347052921,-0.213969565,-2.998047485,0.007178783,0.096125412,-2.31887542,,,,,,,,,,,,,,,,,,,
CYTH3,-3.618133365,2.495678261,-2.688650023,0.014228789,0.096125412,-2.888281062,,,,,,,,,,,,,,,,,,,
DARS1,-2.171900079,4.647965217,-2.752448739,0.012377202,0.096125412,-2.772673326,,,,,,,,,,,,,,,,,,,
DBH,-3.67736718,-2.676404348,-2.960843795,0.007802084,0.096125412,-2.388415234,,,,,,,,,,,,,,,,,,,
DCBLD2,-2.379507819,1.260726087,-2.858639968,0.00979435,0.096125412,-2.57805227,,,,,,,,,,,,,,,,,,,
DCDC2C,-5.257706391,-4.100804348,-3.10419458,0.005653639,0.096125412,-2.119135712,,,,,,,,,,,,,,,,,,,
DCTD,-1.265577612,7.924319565,-2.782546943,0.01158562,0.096125412,-2.717779567,,,,,,,,,,,,,,,,,,,
DCTN6,-2.212475839,1.939143478,-2.925701711,0.008438541,0.096125412,-2.453859442,,,,,,,,,,,,,,,,,,,
DCTPP1,-1.602006926,4.989845652,-2.996845405,0.007198148,0.096125412,-2.321126293,,,,,,,,,,,,,,,,,,,
DCXR,-2.240485406,1.015534783,-3.603294409,0.001804395,0.096125412,-1.161159396,,,,,,,,,,,,,,,,,,,
DDC,-3.250969044,-0.6738,-2.964509862,0.007738417,0.096125412,-2.381574254,,,,,,,,,,,,,,,,,,,
DDI2,-2.838994323,3.836134783,-3.128997472,0.005345415,0.096125412,-2.072201643,,,,,,,,,,,,,,,,,,,
DDX39A,-1.861382653,0.405954348,-3.20881532,0.004460397,0.096125412,-1.920561933,,,,,,,,,,,,,,,,,,,
DDX58,-2.466706091,-1.216145652,-2.822142275,0.010617655,0.096125412,-2.645236623,,,,,,,,,,,,,,,,,,,
DGKA,-2.782161404,1.70103913,-3.503053091,0.002273963,0.096125412,-1.355306554,,,,,,,,,,,,,,,,,,,
DLGAP5,-1.892598316,-0.359097826,-2.683978643,0.014374236,0.096125412,-2.896704402,,,,,,,,,,,,,,,,,,,
DMP1,-3.101566275,-3.814365217,-2.916558544,0.008612155,0.096125412,-2.470846533,,,,,,,,,,,,,,,,,,,
DNAJB1,-3.96218281,2.82465,-2.803809968,0.01105579,0.096125412,-2.678868818,,,,,,,,,,,,,,,,,,,
DNAJC9,-5.294070645,1.161723913,-3.090774816,0.005827527,0.096125412,-2.144490295,,,,,,,,,,,,,,,,,,,
DNPH1,0.775432756,4.963780435,2.715796765,0.013410833,0.096125412,-2.839216935,,,,,,,,,,,,,,,,,,,
DOK2,-3.116642785,0.964178261,-2.686991757,0.014280259,0.096125412,-2.891271878,,,,,,,,,,,,,,,,,,,
DPP4,-2.159988667,-3.664980435,-2.759041795,0.012199512,0.096125412,-2.760667649,,,,,,,,,,,,,,,,,,,
DRG2,-1.927985384,1.10821087,-2.704185546,0.013755065,0.096125412,-2.860226231,,,,,,,,,,,,,,,,,,,
DSG4,-3.109594585,-2.006819565,-3.882337512,0.000945071,0.096125412,-0.618802972,,,,,,,,,,,,,,,,,,,
DTNB,-3.766540694,5.644421739,-2.72448698,0.013158576,0.096125412,-2.823470153,,,,,,,,,,,,,,,,,,,
DTYMK,-5.006222553,1.269441304,-3.129729225,0.005336574,0.096125412,-2.070815555,,,,,,,,,,,,,,,,,,,
DYNC1H1,-2.319592596,3.562769565,-2.689911092,0.014189764,0.096125412,-2.886006132,,,,,,,,,,,,,,,,,,,
DYNLT1,-2.872499034,6.329086957,-2.818014652,0.010714831,0.096125412,-2.652815839,,,,,,,,,,,,,,,,,,,
ECHDC3,-5.178694127,0.503434783,-3.08199482,0.005944089,0.096125412,-2.161063406,,,,,,,,,,,,,,,,,,,
EGF,-2.588969747,0.482186957,-2.694760152,0.014040653,0.096125412,-2.877254662,,,,,,,,,,,,,,,,,,,
EIF2AK2,-4.420060708,-0.712278261,-3.282433727,0.003771806,0.096125412,-1.779964928,,,,,,,,,,,,,,,,,,,
EIF2AK3,-2.058972759,0.37943913,-3.570209558,0.001947689,0.096125412,-1.225299418,,,,,,,,,,,,,,,,,,,
EIF4E,-1.7419248,5.832376087,-2.670857798,0.014790349,0.096125412,-2.920332431,,,,,,,,,,,,,,,,,,,
EIF4G1,-2.671850169,3.135491304,-2.857001959,0.00982995,0.096125412,-2.581073807,,,,,,,,,,,,,,,,,,,
ELAC1,-2.534191133,6.231515217,-2.856576151,0.009839225,0.096125412,-2.581859173,,,,,,,,,,,,,,,,,,,
ELOB,-2.022058634,3.245078261,-3.050305664,0.006383884,0.096125412,-2.220776034,,,,,,,,,,,,,,,,,,,
EPHA1,-2.410753508,-3.690695652,-2.964697799,0.007735167,0.096125412,-2.38122349,,,,,,,,,,,,,,,,,,,
EPO,-3.436269707,-4.495891304,-3.205796198,0.00449111,0.096125412,-1.926313506,,,,,,,,,,,,,,,,,,,
EPPK1,-3.682138906,1.066817391,-3.105030078,0.005642981,0.096125412,-2.117556241,,,,,,,,,,,,,,,,,,,
EREG,-2.666275136,0.286743478,-2.756163648,0.01227678,0.096125412,-2.765909948,,,,,,,,,,,,,,,,,,,
ERI1,-2.971114775,0.920626087,-3.007234399,0.007032432,0.096125412,-2.301664476,,,,,,,,,,,,,,,,,,,
