Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
APOH,0.888858065,-0.051167583,-0.523451394,0.606712157,,,,,,,,,,,,,,,,
APOL1,1.008118407,0.003511545,-0.475657786,0.63974124,,,,,,,,,,,,,,,,
APOM,2.645157588,0.422451551,0.098684547,0.922422451,,,,,,,,,,,,,,,,
APP,1.022918288,0.009840943,-0.037925849,0.97014246,,,,,,,,,,,,,,,,
APPL2,0.434643208,-0.361867102,-1.532702675,0.1418315,,,,,,,,,,,,,,,,
APRT,0.674719937,-0.170876457,-1.500672188,0.149875764,,,,,,,,,,,,,,,,
ARAF,0.697375182,-0.156533512,-1.224806768,0.235616808,,,,,,,,,,,,,,,,
AREG,0.308473409,-0.510782268,-0.821157661,0.42174085,,,,,,,,,,,,,,,,
ARF6,0.403895734,-0.393730734,-0.714943705,0.483336906,,,,,,,,,,,,,,,,
ARFIP1,0.658765054,-0.181269447,-0.994451724,0.332499967,,,,,,,,,,,,,,,,
ARG1,1.350235082,0.130409388,-0.919010046,0.369610811,,,,,,,,,,,,,,,,
ARG2,0.641442865,-0.192842021,-0.832309279,0.41557375,,,,,,,,,,,,,,,,
ARHGAP1,0.637796021,-0.195318194,0.835290686,0.413934758,,,,,,,,,,,,,,,,
ARHGAP25,0.380631851,-0.419494873,-1.317067682,0.203480392,,,,,,,,,,,,,,,,
ARHGAP30,0.840233538,-0.075599988,-1.171587581,0.255845589,,,,,,,,,,,,,,,,
ARHGAP45,0.452227127,-0.34464339,-0.685304457,0.501428094,,,,,,,,,,,,,,,,
ARHGAP5,0.278480367,-0.555205417,-1.916376354,0.070484821,,,,,,,,,,,,,,,,
ARHGEF1,0.933334664,-0.029962604,-0.533101685,0.600144033,,,,,,,,,,,,,,,,
ARHGEF10,0.839887171,-0.075779053,-0.761163875,0.455903151,,,,,,,,,,,,,,,,
ARHGEF12,0.400015401,-0.397923288,-1.109893049,0.280895302,,,,,,,,,,,,,,,,
ARHGEF5,0.363703636,-0.439252357,-1.387588212,0.181322944,,,,,,,,,,,,,,,,
ARID3A,0.891383722,-0.049935301,-1.670614734,0.111188958,,,,,,,,,,,,,,,,
ARID4B,0.382373944,-0.417511709,-1.100479885,0.284870697,,,,,,,,,,,,,,,,
ARL2BP,0.581129987,-0.235726714,-1.933290024,0.068241961,,,,,,,,,,,,,,,,
ARMCX2,0.836372645,-0.07760018,0.387418598,0.702752031,,,,,,,,,,,,,,,,
ARNT,1.025461474,0.010919349,-0.512054663,0.614513352,,,,,,,,,,,,,,,,
ARSA,0.813041874,-0.089887087,-1.585851408,0.129275992,,,,,,,,,,,,,,,,
ARSB,0.67033367,-0.173708966,-1.026990868,0.317322679,,,,,,,,,,,,,,,,
ART3,0.738780455,-0.131484603,-0.699643707,0.492627613,,,,,,,,,,,,,,,,
ART5,1.503447572,0.177088288,0.11655852,0.908433127,,,,,,,,,,,,,,,,
ARTN,0.942842846,-0.02556069,-0.79766921,0.434918935,,,,,,,,,,,,,,,,
ASAH1,0.93440433,-0.029465158,-1.231353654,0.233215056,,,,,,,,,,,,,,,,
ASAH2,1.472606423,0.168086691,0.836434391,0.413307119,,,,,,,,,,,,,,,,
ASGR1,0.441325055,-0.355241416,-0.28737637,0.776935,,,,,,,,,,,,,,,,
ASGR2,1.259330151,0.100139602,-0.532793342,0.600353357,,,,,,,,,,,,,,,,
ASPN,1.652604712,0.218168987,0.559848866,0.582123506,,,,,,,,,,,,,,,,
ASPSCR1,0.434124768,-0.362385436,-0.612427459,0.547515374,,,,,,,,,,,,,,,,
ASRGL1,0.807396403,-0.09291319,-1.13062027,0.272285542,,,,,,,,,,,,,,,,
ASS1,0.666015955,-0.176515367,-1.510843902,0.147281371,,,,,,,,,,,,,,,,
ATF2,0.365119384,-0.43756511,-1.397108552,0.17848545,,,,,,,,,,,,,,,,
ATF4,0.854853419,-0.068108347,-0.745676076,0.464989042,,,,,,,,,,,,,,,,
ATG16L1,0.544232413,-0.264215596,-0.862026324,0.399422519,,,,,,,,,,,,,,,,
ATG4A,0.669444775,-0.174285244,-0.321688231,0.751201072,,,,,,,,,,,,,,,,
ATOX1,1.010859808,0.004690929,0.086309783,0.932123242,,,,,,,,,,,,,,,,
ATP1B1,0.936326641,-0.02857262,0.117699031,0.907541479,,,,,,,,,,,,,,,,
ATP1B2,1.898254915,0.278354533,1.267000648,0.220466019,,,,,,,,,,,,,,,,
ATP1B3,0.723035082,-0.14084063,-0.879295943,0.390226386,,,,,,,,,,,,,,,,
ATP1B4,1.64103708,0.215118394,0.126750179,0.900469889,,,,,,,,,,,,,,,,
ATP2B4,0.738885376,-0.131422929,-1.179155817,0.252891671,,,,,,,,,,,,,,,,
ATP5F1D,0.690470845,-0.160854655,-1.817044968,0.085018644,,,,,,,,,,,,,,,,
ATP5IF1,0.828451804,-0.081732752,-1.131715609,0.27183604,,,,,,,,,,,,,,,,
ATP5PO,0.62568615,-0.203643458,-0.330319488,0.744773069,,,,,,,,,,,,,,,,
ATP6AP2,0.97827572,-0.009538725,-0.485492469,0.632878219,,,,,,,,,,,,,,,,
ATP6V1D,0.366093444,-0.436408049,-1.791066121,0.089227919,,,,,,,,,,,,,,,,
ATP6V1F,0.679887233,-0.167563114,-1.366070763,0.187869339,,,,,,,,,,,,,,,,
ATP6V1G1,0.718523155,-0.143559232,-1.514249698,0.14642102,,,,,,,,,,,,,,,,
ATP6V1G2,0.681489794,-0.166540644,-1.500576876,0.149900251,,,,,,,,,,,,,,,,
ATRAID,0.490791968,-0.309102553,-0.658403487,0.518178283,,,,,,,,,,,,,,,,
ATRN,1.066768622,0.028070233,-0.089969513,0.92925311,,,,,,,,,,,,,,,,
ATXN10,0.573098204,-0.241770953,-0.84380375,0.409277601,,,,,,,,,,,,,,,,
ATXN2,0.4738144,-0.324391744,-1.254356451,0.22492504,,,,,,,,,,,,,,,,
ATXN2L,0.793471067,-0.100468905,-0.248537728,0.806384981,,,,,,,,,,,,,,,,
ATXN3,0.516571937,-0.286869191,-0.977134755,0.340780666,,,,,,,,,,,,,,,,
AXIN1,0.597836086,-0.223417874,-0.87060321,0.394837802,,,,,,,,,,,,,,,,
AXL,0.785395706,-0.104911478,-0.024598492,0.980631737,,,,,,,,,,,,,,,,
AZI2,0.631439829,-0.199668028,-0.595779301,0.558353786,,,,,,,,,,,,,,,,
AZU1,0.952313613,-0.021220008,-0.496084506,0.625524713,,,,,,,,,,,,,,,,
B2M,1.094744124,0.039312623,2.930618897,0.008580757,,,,,,,,,,,,,,,,
B3GAT3,1.209541388,0.082620734,0.823565957,0.420404117,,,,,,,,,,,,,,,,
B3GNT7,0.942812332,-0.025574746,-0.55761458,0.583618329,,,,,,,,,,,,,,,,
B4GALT1,0.555385564,-0.255405413,-0.499272019,0.623319597,,,,,,,,,,,,,,,,
B4GAT1,1.090967099,0.037811654,0.825547572,0.419306234,,,,,,,,,,,,,,,,
BABAM1,0.627894518,-0.202113309,-1.327089867,0.200207073,,,,,,,,,,,,,,,,
BACH1,0.693125129,-0.159188356,-0.859097609,0.40099594,,,,,,,,,,,,,,,,
BAG3,0.71085347,-0.148219912,-0.731236518,0.473557238,,,,,,,,,,,,,,,,
BAG4,0.334275122,-0.475895944,-1.121752313,0.275944995,,,,,,,,,,,,,,,,
BAG6,0.578935727,-0.237369649,-1.076395022,0.295229018,,,,,,,,,,,,,,,,
BAIAP2,0.376858478,-0.42382171,-1.559708408,0.135330535,,,,,,,,,,,,,,,,
BAMBI,0.782339962,-0.106604486,-1.545692271,0.138672891,,,,,,,,,,,,,,,,
BANK1,4.93014841,0.692859993,0.512300171,0.614344797,,,,,,,,,,,,,,,,
BAP18,0.299875909,-0.523058423,-0.96508433,0.34662655,,,,,,,,,,,,,,,,
BATF,0.333114533,-0.47740642,-0.434232701,0.669010604,,,,,,,,,,,,,,,,
BAX,0.460837706,-0.336451994,-0.75349822,0.46038665,,,,,,,,,,,,,,,,
BCAM,0.603587917,-0.219259463,-0.189281291,0.851879693,,,,,,,,,,,,,,,,
BCAN,1.12507276,0.05118061,3.543849405,0.002168331,,,,,,,,,,,,,,,,
BCAT1,0.601824736,-0.220529966,-1.328696953,0.199686071,,,,,,,,,,,,,,,,
BCAT2,0.74005101,-0.130738345,-1.706051162,0.10429219,,,,,,,,,,,,,,,,
BCHE,0.845163365,-0.073059336,0.178882319,0.859923804,,,,,,,,,,,,,,,,
BCL2,0.620942222,-0.206948808,-0.597450324,0.557260832,,,,,,,,,,,,,,,,
BCL2L1,0.585929884,-0.232154351,-1.244056582,0.228608508,,,,,,,,,,,,,,,,
BCL2L15,0.463050816,-0.334371346,-0.44302835,0.662748232,,,,,,,,,,,,,,,,
BCL7A,0.317843567,-0.497786574,-1.107299324,0.28198661,,,,,,,,,,,,,,,,
BCL7B,0.333161671,-0.477344969,-1.903175655,0.072280441,,,,,,,,,,,,,,,,
BCR,0.59534298,-0.225232763,-0.380325031,0.707922616,,,,,,,,,,,,,,,,
BDNF,36.22324658,1.558987372,-0.394494659,0.69760897,,,,,,,,,,,,,,,,
BECN1,0.541299335,-0.266562506,-1.141235567,0.267952373,,,,,,,,,,,,,,,,
BEX3,0.64799153,-0.188430671,-1.537494427,0.140659432,,,,,,,,,,,,,,,,
BGLAP,2.198579256,0.342142126,0.269742047,0.790266574,,,,,,,,,,,,,,,,
BGN,0.562400409,-0.249954372,-0.124497587,0.902229047,,,,,,,,,,,,,,,,
BHLHE40,0.472398996,-0.325691034,-1.676222433,0.110072303,,,,,,,,,,,,,,,,
BHMT2,1.585418287,0.200143863,1.020448481,0.320334226,,,,,,,,,,,,,,,,
BIN2,2.750259904,0.439373737,-0.156709153,0.877127274,,,,,,,,,,,,,,,,
BIRC2,0.819181098,-0.086620077,-1.509019355,0.147743992,,,,,,,,,,,,,,,,
BLMH,0.543978886,-0.264417957,-1.20927476,0.241390358,,,,,,,,,,,,,,,,
BLNK,0.425228106,-0.371378037,-0.989493287,0.334856551,,,,,,,,,,,,,,,,
BLOC1S2,0.449610426,-0.347163626,-1.995892329,0.06048247,,,,,,,,,,,,,,,,
BLOC1S3,0.290070682,-0.537496164,-1.07610487,0.295355447,,,,,,,,,,,,,,,,
BLVRB,0.553925792,-0.256548413,-1.164725774,0.258546103,,,,,,,,,,,,,,,,
BMP10,0.285773945,-0.543977369,-1.126071431,0.274158162,,,,,,,,,,,,,,,,
BMP4,0.45273157,-0.34415922,-0.810708155,0.427572013,,,,,,,,,,,,,,,,
BMPER,0.531684431,-0.274346056,-0.510274459,0.615736223,,,,,,,,,,,,,,,,
BNIP2,0.550651871,-0.259122881,-1.160547293,0.260201,,,,,,,,,,,,,,,,
BNIP3L,0.392440237,-0.406226471,-0.890497078,0.384336657,,,,,,,,,,,,,,,,
BOC,0.458407009,-0.338748751,-0.918207138,0.370020234,,,,,,,,,,,,,,,,
