,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
WNT11,1.322742475,0.1214753,1.930527905,0.077510402,,,,,,,,,,,,,,,
KIAA0040,0.786649521,-0.104218718,-1.732050202,0.108864412,,,,,,,,,,,,,,,
RAB11FIP5,1.044243616,0.018801829,0.60698034,0.555174873,,,,,,,,,,,,,,,
HEBP1,1.239502271,0.093247327,1.682017227,0.118382686,,,,,,,,,,,,,,,
SVBP,0.567047076,-0.246380885,-2.244681239,0.044420925,,,,,,,,,,,,,,,
NIPSNAP3A,1.449081814,0.161092906,1.126950479,0.281794535,,,,,,,,,,,,,,,
VPS50,0.856833671,-0.067103475,-2.387140504,0.034313595,,,,,,,,,,,,,,,
ATP6V0A4,1.512739308,0.179764092,1.603045199,0.134904887,,,,,,,,,,,,,,,
TTC39B,0.755436809,-0.121801858,-3.092863691,0.009312653,,,,,,,,,,,,,,,
MARVELD3,1.015505437,0.006682253,0.244427725,0.811028928,,,,,,,,,,,,,,,
ATG16L1,0.938770165,-0.027440721,-1.863015997,0.087109459,,,,,,,,,,,,,,,
CYTH4,1.115658363,0.047531225,1.520111586,0.154384678,,,,,,,,,,,,,,,
DDX20,1.147637912,0.059804887,1.897295639,0.082107509,,,,,,,,,,,,,,,
CASD1,0.792278332,-0.101122221,-2.731312869,0.018222145,,,,,,,,,,,,,,,
IFNGR1,1.253428487,0.098099561,2.046304761,0.063283107,,,,,,,,,,,,,,,
GNL3,0.901997041,-0.044794887,-1.819571589,0.093846412,,,,,,,,,,,,,,,
DDX39A,1.1846073,0.073574405,1.133888647,0.278985897,,,,,,,,,,,,,,,
FHIT,1.070180735,0.029457129,0.869290643,0.401741135,,,,,,,,,,,,,,,
LIAT1,0.514977948,-0.288211367,-3.266718735,0.006744113,,,,,,,,,,,,,,,
PCIF1,0.926830108,-0.032999867,-1.498255284,0.159904215,,,,,,,,,,,,,,,
PCDHB8,0.800474834,-0.096652317,-2.544954209,0.025703105,,,,,,,,,,,,,,,
PROZ,1.550289389,0.190412774,0.64955749,0.528216091,,,,,,,,,,,,,,,
HLA-DQA2,0.545865015,-0.262914739,-2.363250317,0.035838841,,,,,,,,,,,,,,,
PPP1R16A,0.776182826,-0.110035971,-2.100989765,0.057443886,,,,,,,,,,,,,,,
SMC6,0.769343725,-0.113879584,-3.197134303,0.007673239,,,,,,,,,,,,,,,
TGIF2LX,0.677663389,-0.168985976,-2.889055892,0.013599953,,,,,,,,,,,,,,,
STRADA,0.868728066,-0.061116147,-2.540423792,0.02591809,,,,,,,,,,,,,,,
POLB,0.773338396,-0.111630427,-2.294259495,0.040617352,,,,,,,,,,,,,,,
NSUN5,0.7882665,-0.10332693,-2.11145784,0.056385249,,,,,,,,,,,,,,,
SS18,1.251410751,0.097399882,1.680076643,0.118766281,,,,,,,,,,,,,,,
ZNF787,1.1171875,0.048126068,1.262987451,0.230583102,,,,,,,,,,,,,,,
BDP1,0.055171009,-1.258289071,-2.030841444,0.065031994,,,,,,,,,,,,,,,
TTLL7,0.468866892,-0.328950433,-2.174888929,0.050352461,,,,,,,,,,,,,,,
FXYD6,0.719264606,-0.14311131,-1.20532266,0.251309679,,,,,,,,,,,,,,,
HELZ,0.813959204,-0.089397362,-2.674763719,0.020231831,,,,,,,,,,,,,,,
CPVL,1.080341074,0.033560888,-0.453140512,0.658532091,,,,,,,,,,,,,,,
LCA5,0.881320405,-0.054866175,-2.517822911,0.027016995,,,,,,,,,,,,,,,
INTS4,0.768866205,-0.114149228,-2.092364725,0.058330101,,,,,,,,,,,,,,,
APOA1,0.463800994,-0.333668325,-2.274142328,0.042121704,,,,,,,,,,,,,,,
PPP4C,0.663111649,-0.178413342,-2.032224901,0.064873714,,,,,,,,,,,,,,,
PXMP4,0.857544079,-0.066743548,-1.506488047,0.157805657,,,,,,,,,,,,,,,
POLR2J,0.649116717,-0.187677206,-2.132457255,0.054316541,,,,,,,,,,,,,,,
IGHV6-1,0.591574921,-0.227990245,-1.711556057,0.112677696,,,,,,,,,,,,,,,
JMY,1.081286787,0.033940896,0.805210736,0.436362611,,,,,,,,,,,,,,,
CFD,0.640855402,-0.19323995,-1.986536669,0.070294499,,,,,,,,,,,,,,,
DCAKD,0.853776006,-0.068656055,-1.597678199,0.136097611,,,,,,,,,,,,,,,
MGRN1,0.874851974,-0.058065424,-1.603211357,0.134868107,,,,,,,,,,,,,,,
LSM4,1.125703275,0.05142393,1.091928253,0.296302669,,,,,,,,,,,,,,,
RCOR1,0.931453792,-0.030838685,-0.992853159,0.340380351,,,,,,,,,,,,,,,
FTSJ3,0.931905792,-0.030627989,-1.859511699,0.087636125,,,,,,,,,,,,,,,
BCO1,0.825117283,-0.083484316,-3.360311946,0.005670918,,,,,,,,,,,,,,,
MAP9,1.255772616,0.098911009,1.976542,0.071534926,,,,,,,,,,,,,,,
GABARAP,1.082813219,0.034553549,2.607817131,0.022893584,,,,,,,,,,,,,,,
SLC30A7,0.743995196,-0.128429869,-1.90438127,0.081106896,,,,,,,,,,,,,,,
HGH1,0.916148253,-0.038034242,-1.483976361,0.163600396,,,,,,,,,,,,,,,
AP5B1,0.931071514,-0.03101696,-2.568623532,0.024607851,,,,,,,,,,,,,,,
POLR1D,0.776514562,-0.109850396,-3.888245751,0.00215545,,,,,,,,,,,,,,,
CRPPA,0.906764039,-0.042505712,-1.745596727,0.106407436,,,,,,,,,,,,,,,
ARK2N,0.930146631,-0.031448583,-1.326906972,0.209235173,,,,,,,,,,,,,,,
RAB30,0.947802926,-0.023281955,-2.616724488,0.022520581,,,,,,,,,,,,,,,
RPS6KA5,1.160052917,0.0644778,2.148909928,0.052745818,,,,,,,,,,,,,,,
TLNRD1,1.20090963,0.079510327,2.008982182,0.067580988,,,,,,,,,,,,,,,
SMYD2,0.958489747,-0.018412528,-1.122556717,0.283584338,,,,,,,,,,,,,,,
TMPO,0.62672138,-0.20292549,-2.090037124,0.058571444,,,,,,,,,,,,,,,
