gene,GO Focus function
CDC26,Development (cell cycle)
CDC27,Development (cell cycle)
CDCA2,Development (cell cycle)
CDCA3,Development (cell cycle)
CDCA5,Development (cell cycle)
CDCA7,Development (cell cycle)
CDCA7L,Development (cell cycle)
CDCA8,Development (cell cycle)
CDK1,Development (cell cycle)
CDK10,Development (cell cycle)
CDK11A,Development (cell cycle)
CDK11B,Development (cell cycle)
CDK12,Development (cell cycle)
CDK13,Development (cell cycle)
CDK14,Development (cell cycle)
CDK15,Development (cell cycle)
CDK16,Development (cell cycle)
CDK17,Development (cell cycle)
CDK18,Development (cell cycle)
CDK19,Development (cell cycle)
CDK2,Development (cell cycle)
CDK20,Development (cell cycle)
CDK2AP1,Development (cell cycle)
CDK2AP2,Development (cell cycle)
CDK6,Development (cell cycle)
CDK7,Development (cell cycle)
CDK8,Development (cell cycle)
CDK9,Development (cell cycle)
CDKN1A,Development (cell cycle)
CDKN1B,Development (cell cycle)
CDKN1C,Development (cell cycle)
CDKN2A,Development (cell cycle)
CDKN2AIP,Development (cell cycle)
CDKN2B,Development (cell cycle)
CDKN2B-AS1,Development (cell cycle)
CDKN2C,Development (cell cycle)
CDKN2D,Development (cell cycle)
AAMDC,Development (differentiation)
AAMP,Development (differentiation)
ABL1,Development (differentiation)
ACIN1,Development (differentiation)
ADIRF,Development (differentiation)
AFP,Development (differentiation)
AIFM1,Development (differentiation)
AIFM2,Development (differentiation)
AIFM3,Development (differentiation)
ALX1,Development (differentiation)
ALX3,Development (differentiation)
ALX4,Development (differentiation)
ANAPC1,Development (differentiation)
ANAPC10,Development (differentiation)
ANAPC11,Development (differentiation)
ANAPC13,Development (differentiation)
ANAPC15,Development (differentiation)
ANAPC16,Development (differentiation)
ANAPC2,Development (differentiation)
ANAPC4,Development (differentiation)
ANAPC5,Development (differentiation)
ANAPC7,Development (differentiation)
APC,Development (differentiation)
APC2,Development (differentiation)
APCDD1,Development (differentiation)
APCDD1L,Development (differentiation)
APELA,Development (differentiation)
APLP1,Development (differentiation)
APLP2,Development (differentiation)
AREG,Development (differentiation)
ATOH1,Development (differentiation)
ATOH7,Development (differentiation)
ATOH8,Development (differentiation)
ATRN,Development (differentiation)
ATRNL1,Development (differentiation)
ATRX,Development (differentiation)
ATXN1,Development (differentiation)
ATXN10,Development (differentiation)
ATXN1L,Development (differentiation)
AUTS2,Development (differentiation)
BAALC,Development (differentiation)
BARHL1,Development (differentiation)
BARHL2,Development (differentiation)
BARX1,Development (differentiation)
BASP1,Development (differentiation)
BCL2A1,Development (differentiation)
BCL2L1,Development (differentiation)
BCL2L2,Development (differentiation)
BCL6,Development (differentiation)
BCL6B,Development (differentiation)
BCOR,Development (differentiation)
BCR,Development (differentiation)
BDNF,Development (differentiation)
BMX,Development (differentiation)
BNC1,Development (differentiation)
BNC2,Development (differentiation)
BOC,Development (differentiation)
BRINP1,Development (differentiation)
BRINP2,Development (differentiation)
BRINP3,Development (differentiation)
BSX,Development (differentiation)
BTC,Development (differentiation)
BTK,Development (differentiation)
CABLES1,Development (differentiation)
CABLES2,Development (differentiation)
CASZ1,Development (differentiation)
CCHCR1,Development (differentiation)
CCIN,Development (differentiation)
CCN1,Development (differentiation)
CCN2,Development (differentiation)
CCN3,Development (differentiation)
CCN4,Development (differentiation)
CCN5,Development (differentiation)
CCN6,Development (differentiation)
CDK3,Development (differentiation)
CDK4,Development (differentiation)
CDK5,Development (differentiation)
CDK5R1,Development (differentiation)
CDK5R2,Development (differentiation)
CDK5RAP1,Development (differentiation)
CDK5RAP2,Development (differentiation)
CDK5RAP3,Development (differentiation)
CDKL5,Development (differentiation)
CDX1,Development (differentiation)
CDX2,Development (differentiation)
CEBPA,Development (differentiation)
CEBPB,Development (differentiation)
CEBPD,Development (differentiation)
CEBPE,Development (differentiation)
CEBPG,Development (differentiation)
CEBPZ,Development (differentiation)
CENPA,Development (differentiation)
CER1,Development (differentiation)
CHAD,Development (differentiation)
CILP,Development (differentiation)
CILP2,Development (differentiation)
COMP,Development (differentiation)
CREG1,Development (differentiation)
CRTAC1,Development (differentiation)
CRTAP,Development (differentiation)
CT45A1,Development (differentiation)
CT45A10,Development (differentiation)
CT45A2,Development (differentiation)
CT45A3,Development (differentiation)
CT45A5,Development (differentiation)
CT45A6,Development (differentiation)
CT45A7,Development (differentiation)
CT45A8,Development (differentiation)
CT45A9,Development (differentiation)
CTAG2,Development (differentiation)
CTAGE1,Development (differentiation)
CTAGE15,Development (differentiation)
CTAGE3P,Development (differentiation)
CTAGE4,Development (differentiation)
CTAGE6,Development (differentiation)
CTAGE8,Development (differentiation)
CTAGE9,Development (differentiation)
CUX1,Development (differentiation)
CUX2,Development (differentiation)
DAAM1,Development (differentiation)
DAAM2,Development (differentiation)
DAB1,Development (differentiation)
DAB2,Development (differentiation)
DACH1,Development (differentiation)
DACH2,Development (differentiation)
DACT1,Development (differentiation)
DACT2,Development (differentiation)
DACT3,Development (differentiation)
DAG1,Development (differentiation)
DALRD3,Development (differentiation)
DAND5,Development (differentiation)
DCLK1,Development (differentiation)
DCLK2,Development (differentiation)
DCLK3,Development (differentiation)
DHX32,Development (differentiation)
DLK2,Development (differentiation)
DLL1,Development (differentiation)
DLL3,Development (differentiation)
DLL4,Development (differentiation)
DLX1,Development (differentiation)
DLX2,Development (differentiation)
DLX3,Development (differentiation)
DLX4,Development (differentiation)
DLX5,Development (differentiation)
DLX6,Development (differentiation)
DMAC1,Development (differentiation)
DMAC2,Development (differentiation)
DMAC2L,Development (differentiation)
DMRT1,Development (differentiation)
DMRT2,Development (differentiation)
DMRT3,Development (differentiation)
DMRTA1,Development (differentiation)
DMRTA2,Development (differentiation)
DMRTB1,Development (differentiation)
DMRTC2,Development (differentiation)
DNER,Development (differentiation)
DOK1,Development (differentiation)
DOK2,Development (differentiation)
DOK3,Development (differentiation)
DOK4,Development (differentiation)
DOK5,Development (differentiation)
DOK6,Development (differentiation)
DOK7,Development (differentiation)
DSCAM,Development (differentiation)
DSCAML1,Development (differentiation)
DYRK1A,Development (differentiation)
DYRK1B,Development (differentiation)
DYRK2,Development (differentiation)
DYRK3,Development (differentiation)
DYRK4,Development (differentiation)
EGF,Development (differentiation)
EGFL6,Development (differentiation)
EGFL7,Development (differentiation)
EGFL8,Development (differentiation)
EGFR,Development (differentiation)
